wavenumber_cm-1,transmittance_fraction,absorbance
1486.9358669833728,0.9236760124610592,0.034480334704590644
1483.1353919239905,0.9330218068535826,0.03010820567954187
1479.3349168646082,0.9330218068535826,0.03010820567954187
1475.5344418052257,0.926791277258567,0.03301806234030369
1471.7339667458432,0.9190031152647975,0.03668301642670909
1467.933491686461,0.897196261682243,0.047112544645641234
1464.1330166270784,0.8411214953271028,0.07514126824588478
1460.332541567696,0.7367601246105919,0.13267388733104168
1456.5320665083136,0.5342679127725857,0.27224090802608275
1452.731591448931,0.4205607476635514,0.376171263909866
1448.9311163895486,0.6479750778816199,0.18844169744211056
1445.1306413301663,0.7850467289719626,0.105104491623328
1441.3301662707838,0.8021806853582555,0.09572779902766225
1437.5296912114013,0.7367601246105919,0.13267388733104168
1433.729216152019,0.5903426791277259,0.2288958181007809
1429.9287410926365,0.440809968847352,0.35574859254456304
1426.128266033254,0.37694704049844235,0.423719662088422
1422.3277909738717,0.3925233644859813,0.40613448728730916
1418.5273159144895,0.46105919003115264,0.3362433170099147
1414.7268408551067,0.5638629283489096,0.2488264575356876
1410.9263657957245,0.6526479750778816,0.18532100510255795
1407.1258907363422,0.7118380062305296,0.14761882799900303
1403.3254156769597,0.7476635514018691,0.12629379069326607
1399.5249406175772,0.7725856697819314,0.11205335157865583
1395.7244655581949,0.7975077881619937,0.09826506709302253
1391.9239904988124,0.8161993769470405,0.08820374108512663
1388.1235154394299,0.8302180685358256,0.08080781904228099
1384.3230403800476,0.8333333333333334,0.0791812460476248
1380.522565320665,0.8302180685358256,0.08080781904228099
1376.7220902612826,0.8317757009345794,0.07999377104029687
1372.9216152019003,0.8426791277258567,0.07433776296228382
1369.1211401425178,0.8551401869158879,0.06796268361876134
1365.3206650831353,0.8644859813084113,0.06324204494617701
1361.520190023753,0.867601246105919,0.061679832895124354
1357.7197149643705,0.8629283489096573,0.06402526334042354
1353.919239904988,0.8473520249221184,0.07193612837067338
1350.1187648456057,0.8333333333333334,0.0791812460476248
1346.3182897862234,0.8193146417445483,0.08654928391511423
1342.5178147268407,0.7897196261682243,0.10252706873551728
