wavenumber_cm-1,experiment,reference,conformer1,conformer2,dimer
1272.0,0.29999574335453,0.00011787732600199174,3.846834723414023e-05,0.4569556030259479,0.0734418272307715
1273.0,0.3147945482210431,0.0001611493173507528,5.7064201873560106e-05,0.5249371356713449,0.08013348786528811
1274.0,0.32959335308755605,0.0002173191157932347,8.348731667311317e-05,0.5948028771930651,0.08623421378588023
1275.0,0.33548176397191676,0.0002891112543989509,0.00012046964077760655,0.6647961071306943,0.09152661604983278
1276.0,0.3402771665277983,0.000379458217321513,0.00017145089489423594,0.7329531474664747,0.09581379859823472
1277.0,0.3450725690836799,0.0004914049804217896,0.00024066483329188853,0.7971981401784713,0.09893207655861633
1278.0,0.349851605346843,0.0006279864394438564,0.0003331986435290095,0.8554570504402387,0.10076214235396273
1279.0,0.3544656866070811,0.0007920867112009211,0.0004550090619265151,0.9057829394381098,0.10123768768439086
1280.0,0.35907976786731916,0.0009862964234439511,0.0006128772484593077,0.946482572116046,0.10035069466507153
1281.0,0.36369384912755726,0.001212792185884143,0.0008142847048269394,0.9762333775995178,0.09815290492979738
1282.0,0.3726027787248308,0.0014732708294254162,0.0010671951887203839,0.9941798762182188,0.09475332638491012
1283.0,0.39203760711532376,0.0017689788745944904,0.0013797331802335396,1.0,0.09031200062706753
1284.0,0.41147243550581675,0.002100884049427485,0.0017597581987189265,0.9939341769308181,0.08503058549080837
1285.0,0.43090726389630984,0.0024700394479175497,0.002214345911482331,0.9767733821116106,0.07914056777380835
1286.0,0.4561538063462056,0.0028781910320432504,0.002749200725269464,0.9498062146026276,0.07289008306011126
1287.0,0.48746597269304975,0.00332867463889946,0.003368039016182855,0.9147289944811595,0.06653036987549078
1288.0,0.518778139039894,0.0038276385886834314,0.004071995405301535,0.8735264329474511,0.06030282750840928
1289.0,0.5500903053867382,0.004385611668884687,0.0048591142427223365,0.8283332001046977,0.05442749868936545
1290.0,0.5748816118086931,0.005019413101079905,0.005723992387128426,0.7812883942273294,0.049093588614136936
1291.0,0.5967272884025081,0.005754370625114892,0.006657635472605682,0.734395337457554,0.044452394422472646
1292.0,0.6185729649963231,0.00662677480177462,0.007647576934847004,0.6893982767674636,0.04061278739840123
1293.0,0.640418641590138,0.007686452131962678,0.008678287106022586,0.6476855956834161,0.037639191050047455
1294.0,0.6202909846226721,0.008999287362814828,0.009731870123056348,0.6102263039334567,0.03555184936157443
1295.0,0.5948886039189012,0.010649468247907311,0.010789012196931055,0.5775432126098075,0.03432908709810957
1296.0,0.5694862232151303,0.012741167561414801,0.011830110258295556,0.5497226997318946,0.03391122364475921
1297.0,0.5443511949968705,0.015399323062628633,0.012836480273193488,0.5264576913104199,0.03420580093584739
1298.0,0.5219908520336425,0.018769134679917466,0.013791524887945526,0.5071177405542113,0.0350938077513351
1299.0,0.49963050907041456,0.023013880284526965,0.014681735057149037,0.4908381164704787,0.03643661010102754
1300.0,0.4772701661071866,0.02831066976263103,0.015497412878944457,0.47661874912106306,0.03808331729534253
1301.0,0.4549508549635689,0.03484382474165926,0.01623303364969585,0.46342375644969275,0.039878318515517534
1302.0,0.43273327560410896,0.0427956993973974,0.01688721210068254,0.4502730349087158,0.04166871529921397
1303.0,0.410515696244649,0.05233495243236851,0.017462296161576647,0.43631888923438866,0.043311357850141875
1304.0,0.38829811688518906,0.06360253957364771,0.017963674478355757,0.42090270044966155,0.04467917830685993
1305.0,0.36038226258629374,0.07669600678107868,0.018398943041084543,0.4035889434780632,0.045666514281975074
1306.0,0.32646237225365393,0.09165300109502643,0.01877712320936161,0.3841762141086183,0.0461931415308808
1307.0,0.2925424819210142,0.10843524057703371,0.01910815074277894,0.36268707247578597,0.04620679147838204
1308.0,0.2586225915883744,0.12691444934788018,0.019402857810582288,0.3393402587254175,0.04568401734768265
1309.0,0.23626487341317326,0.1468619163519725,0.019673644812382787,0.31451004577020863,0.04462938518477654
1310.0,0.2191881473652452,0.16794332879651291,0.019935986649590967,0.2886780930252177,0.043073091134602025
1311.0,0.20211142131731702,0.1897203275293617,0.020210842058394133,0.26238315561562,0.04106722861406368
1312.0,0.18503469526938893,0.21165981783565035,0.020527940055211656,0.23617345510056742,0.038681032737478416
1313.0,0.18784128159811883,0.23315145968450277,0.020929810986656402,0.21056555364152288,0.03599550097474921
1314.0,0.19320657836674246,0.25353300245636734,0.02147631805703677,0.1860123516406576,0.033097819662043004
1315.0,0.1985718751353661,0.27212229646321223,0.022249335344965468,0.16288151881485102,0.03007601273864163
1316.0,0.2054079252349309,0.28825400513664357,0.023357116843028835,0.14144442929938889,0.027014175310394795
1317.0,0.2279728651237151,0.3013183651846706,0.0249378148118693,0.12187463171667197,0.02398856911028626
1318.0,0.25053780501249934,0.31079889856028736,0.02716154256418906,0.10425413142361006,0.021064752108733736
1319.0,0.2731027449012835,0.3163058480119315,0.0302303462781012,0.08858533227899011,0.01829580439262108
1320.0,0.3023020014127702,0.31760232819723283,0.034375464313881936,0.07480637085935642,0.01572161022376464
1321.0,0.3481423354528708,0.3146207511287394,0.03985132417094698,0.0628077307472107,0.01336907254145928
1322.0,0.3939826694929714,0.3074679437473933,0.04692587008649264,0.05244837656000636,0.01125307789822027
1323.0,0.43982300353307197,0.29641842972972865,0.05586703885955,0.04357011383678918,0.009377999445358429
1324.0,0.4726815739144938,0.28189647096844955,0.0669255114858586,0.03600938103080459,0.007739521669182453
1325.0,0.4917311113844719,0.2644485194353369,0.08031425622408797,0.02960614581846841,0.006326588569091317
1326.0,0.5107806488544498,0.24470858986432836,0.09618582265206438,0.024209961442285752,0.0051233104193524615
1327.0,0.529830186324428,0.22335962882732407,0.11460880734254356,0.01968351358650144,0.004110706101867254
1328.0,0.49717204021026845,0.20109416959341792,0.13554533552285733,0.015904148742069624,0.0032682016719026118
1329.0,0.4406349985520496,0.1785774169865892,0.15883172380670466,0.0127639321068094,0.0025748460603514244
1330.0,0.38409795689383064,0.15641544228910062,0.18416463804678648,0.010168758657030182,0.0020102380896532784
1331.0,0.3275609152356117,0.13513046395867456,0.21109497675837763,0.008036961992773945,0.001555183537942215
1332.0,0.2842094267998688,0.11514434903359226,0.23903135394673353,0.006297758602293758,0.0011921166385135762
1333.0,0.2425947451057969,0.09677060380198048,0.2672544169118608,0.004889753042915052,0.0009053281153502035
1334.0,0.20098006341172492,0.08021433305977282,0.2949423460260413,0.003759628784732599,0.000681043282999459
1335.0,0.16141529807486907,0.0655790154122076,0.3212068182909742,0.0028610699350202244,0.0005073907832701418
1336.0,0.14445818170620583,0.05287851742390581,0.3451375860373109,0.0021539044092708168,0.0003742970022163763
1337.0,0.12750106533754255,0.042052568662683046,0.36585276325759847,0.0016034281978547765,0.0002733346063931817
1338.0,0.11054394896887931,0.03298392900507564,0.3825510686911865,0.0011798589600319916,0.000197547043129847
1339.0,0.09618334952493422,0.025515661503189006,0.3945617760217342,0.0008578695858247985,0.00014126493748350892
1340.0,0.08841223000758436,0.019467226683923946,0.4013880599553155,0.0006161628417447529,9.992540961714912e-05
1341.0,0.08064111049023448,0.014648480560647211,0.4027398409590403,0.0004370618369981962,6.99014948871905e-05
1342.0,0.07286999097288459,0.010871035779919581,0.39855309561845526,0.000306104209307556,4.834598046799811e-05
1343.0,0.06712369395951111,0.00795679007643118,0.38899382492940754,0.0002116384531472808,3.305190713340264e-05
1344.0,0.0635518368765148,0.005743708933211167,0.37444631774806036,0.00014442777711623438,2.233053795224229e-05
1345.0,0.059979979793518524,0.00408915469859693,0.3554868367634959,9.727030946283816e-05,1.4906602797957355e-05
1346.0,0.056408122710522236,0.0028711799287346493,0.33284520840162213,6.46449934493187e-05,9.829960215845347e-06
1347.0,0.054148367918687,0.0019882559238528774,0.3073578546160771,4.239101927398743e-05,6.402384722777597e-06
1348.0,0.0525012323150598,0.0013579022597336604,0.27991644558189727,2.7426039295672684e-05,4.117926564336344e-06
1349.0,0.050854096711432595,0.0009146364550133374,0.2514165193046246,1.7505481657140136e-05,2.615161614363626e-06
1350.0,0.04920696110780539,0.0006075916005957929,0.22271011391164738,1.10225714623241e-05,1.639622892085287e-06
1351.0,0.04758404095418319,0.00039806850862367265,0.1945657584904403,6.846518128101554e-06,1.0147594213925118e-06
1352.0,0.045964384338297505,0.00025720907565913173,0.16763818326935886,4.194864940253511e-06,6.198826140908929e-07
1353.0,0.04434472772241182,0.00016390673901475205,0.1424489809724428,2.5352089146123623e-06,3.7371594485544493e-07
1354.0,0.042713051679215935,0.00010301229772143753,0.11937832387979089,1.5112821719550316e-06,2.2234266817929412e-07
1355.0,0.0409445662722248,6.385028017077556e-05,0.09866684443671737,8.88594904140501e-07,1.30533111241337e-07
1356.0,0.03917608086523367,3.903172687600634e-05,0.08042601749434951,5.15324228265776e-07,7.561500331758279e-08
1357.0,0.037407595458242536,2.35317235102179e-05,0.06465489403236784,2.947604177209539e-07,4.32181227305614e-08
1358.0,0.03598782976501354,1.399170147854969e-05,0.05126084082418741,1.6628922806538228e-07,2.4372448413844577e-08
1359.0,0.035463505370682,8.204799645657919e-06,0.04008201110740753,9.252537381065194e-08,1.3564275266307522e-08
1360.0,0.03493918097635045,4.7451062239321605e-06,0.030909552876804847,5.07756575415e-08,7.457154324907925e-09
1361.0,0.034414856582018906,2.7064765986512314e-06,0.02350798310766954,2.748179429347664e-08,4.065593139914607e-09
1362.0,0.034309674594765756,1.5224494362978106e-06,0.01763264391444925,1.4669888480497616e-08,2.2318451194250727e-09
1363.0,0.034658909375582796,8.446205461144276e-07,0.013043643441315209,7.723222802815042e-09,1.3030208402096116e-09
1364.0,0.035008144156399836,4.621260806436053e-07,0.009516117806468135,4.010130742262965e-09,9.405100418445022e-10
1365.0,0.03535737893721687,2.4936718963252957e-07,0.006846996536910274,2.053549703027304e-09,1.019577483991067e-09
1366.0,0.036186272316800355,1.327082942834155e-07,0.004858696947777882,1.0371399964973087e-09,1.5971270704370655e-09
1367.0,0.03724157797202524,6.965249646676196e-08,0.003400313177619714,5.165995374646194e-10,2.9431199531539256e-09
1368.0,0.03829688362725012,3.6054138016105747e-08,0.002346915363549987,2.537782328588001e-10,5.6492816108377504e-09
1369.0,0.039352189282475,1.840574136157726e-08,0.001597553235935548,1.2295278424457048e-10,1.0851384480664274e-08
1370.0,0.04073254356142236,9.266831547253565e-09,0.001072488519131956,5.875012492106282e-11,2.0633400987475353e-08
1371.0,0.0421577018398558,4.601390478427947e-09,0.0007100834086248883,2.768747051086877e-11,3.8729608259501954e-08
1372.0,0.043582860118289234,2.253344026299915e-09,0.00046366624412190954,1.2872375137260187e-11,7.171288934943329e-08
