mode,scaled_cm-1,IR_km_mol-1,Raman_activity,C8_O13,C18_O16,O15_H14,O19_H20
70,1598.57864646,0.0185,211.815,0.02021729436106604,0.025489184110470055,0.012387065600783306,0.01238443390723771
71,1653.86800822,0.0,283.0817,-0.5689600812881381,-0.5689660341998792,-0.11350548595507998,-0.11355800404438782
72,1697.16303762,847.9886,0.0,-0.7834287130784411,0.7834267863942515,0.056229511988620556,-0.056189102103858336
73,2969.1545247100003,0.0128,1231.2796,-0.025490322051243512,-0.025489184110470055,0.7515893104907514,0.7416227029613318
74,3062.2170164100003,3151.4191,0.0016,0.0,0.0,0.5597886682425587,-0.5597908913171692
75,3063.50708101,0.0016,119.998,0.0,0.0,0.0,0.0
76,3064.4461749800003,2440.4371,0.0012,0.0,0.0,0.49001672176856603,-0.4900184416607883
77,3075.52756073,0.9458,227.4482,0.0,0.0,0.0,0.0
78,3075.5348666100003,30.8807,6.9689,0.0,0.0,0.00996742092485608,-0.00996749280805441
79,3085.09739836,0.0,363.8327,0.0,0.0,0.0,0.0
80,3085.43020042,8.8929,0.0011,0.0,0.0,0.10964163017341688,-0.1096424208885985
81,3104.08297723,0.0346,141.9232,0.0,0.0,-0.00996742092485608,-0.00996749280805441
82,3104.1040297,7.6195,0.6497,0.0,0.0,-0.01993484184971216,0.01993498561610882
83,3108.68914231,3.8711,9.3834,0.0,0.0,0.00996742092485608,-0.00996749280805441
84,3108.71298255,0.1732,209.92,0.0,0.0,0.00996742092485608,0.00996749280805441
